[WARNING] 2025-11-30 12:11:12,318 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2025-11-30 12:11:12,491 | django.request | Not Found: /favicon.ico
[WARNING] 2025-11-30 12:11:12,492 | django.server | "GET /favicon.ico HTTP/1.1" 404 11650
[WARNING] 2025-11-30 12:11:22,890 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[INFO] 2025-11-30 12:11:41,573 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-30 12:11:42,272 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-11-30 12:12:03,430 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-30 12:12:03,691 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-30 12:12:04,078 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-11-30 18:19:05,606 | django.request | Not Found: /favicon.ico
[WARNING] 2025-11-30 18:19:05,639 | django.server | "GET /favicon.ico HTTP/1.1" 404 11650
[WARNING] 2025-11-30 18:19:08,961 | django.server | "GET /static/accounts/default_avatar.png HTTP/1.1" 404 1895
[INFO] 2025-11-30 18:19:12,073 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-30 18:19:12,996 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-11-30 18:19:38,498 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-30 18:19:38,898 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-11-30 18:19:41,525 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
